customer_id,name,age,city
1,Cust1,25,Bangalore
2,Cust2,52,Chennai
3,Cust3,46,Bangalore
4,Cust4,58,Hyderabad
5,Cust5,36,Hyderabad
6,Cust6,50,Mumbai
7,Cust7,43,Chennai
8,Cust8,32,Chennai
9,Cust9,47,Hyderabad
10,Cust10,39,Mumbai
11,Cust11,42,Hyderabad
12,Cust12,33,Bangalore
13,Cust13,57,Hyderabad
14,Cust14,60,Mumbai
15,Cust15,30,Hyderabad
16,Cust16,56,Bangalore
17,Cust17,51,Chennai
18,Cust18,36,Mumbai
19,Cust19,35,Hyderabad
20,Cust20,43,Bangalore
21,Cust21,45,Chennai
22,Cust22,40,Hyderabad
23,Cust23,30,Mumbai
24,Cust24,24,Mumbai
25,Cust25,49,Bangalore
26,Cust26,31,Mumbai
27,Cust27,25,Chennai
28,Cust28,46,Bangalore
29,Cust29,34,Chennai
30,Cust30,35,Mumbai
31,Cust31,20,Chennai
32,Cust32,35,Bangalore
33,Cust33,41,Mumbai
34,Cust34,22,Bangalore
35,Cust35,59,Hyderabad
36,Cust36,32,Chennai
37,Cust37,59,Hyderabad
38,Cust38,35,Chennai
39,Cust39,29,Mumbai
40,Cust40,26,Bangalore
41,Cust41,51,Chennai
42,Cust42,25,Mumbai
43,Cust43,52,Mumbai
44,Cust44,44,Hyderabad
45,Cust45,55,Mumbai
46,Cust46,31,Hyderabad
47,Cust47,24,Bangalore
48,Cust48,60,Mumbai
49,Cust49,26,Bangalore
50,Cust50,58,Bangalore
51,Cust51,60,Chennai
52,Cust52,47,Chennai
53,Cust53,48,Mumbai
54,Cust54,25,Chennai
55,Cust55,27,Mumbai
56,Cust56,34,Chennai
57,Cust57,54,Bangalore
58,Cust58,29,Bangalore
59,Cust59,51,Chennai
60,Cust60,39,Hyderabad
